City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,adrar,20.5022,-10.0711,60.58,25,14,9.75,MR,1675732262
292,hemsedal,60.8629,8.5534,31.32,87,100,6.46,NO,1675732807
293,talnakh,69.4865,88.3972,-11.79,98,100,6.17,RU,1675732808
294,farmington,36.7281,-108.2187,38.08,45,0,12.66,US,1675732653
295,san cayetano,7.8771,-72.6243,81.48,61,40,4.61,CO,1675732809
296,dulce nombre de culmi,15.1,-85.5333,82.63,90,2,3.31,HN,1675732810
297,morrope,-6.5417,-80.0111,77.11,68,99,13.22,PE,1675732810
298,jambi,-1.6,103.6167,76.84,84,100,4.29,ID,1675732811
299,muyezerskiy,63.9333,31.65,19.56,88,100,10.38,RU,1675732812
300,belaya gora,68.5333,146.4167,-23.84,99,100,2.13,RU,1675732813
301,kyzyl-suu,42.3414,78.0056,21.58,61,100,11.16,KG,1675732814
302,fairbanks,64.8378,-147.7164,17.6,77,75,3.44,US,1675732112
303,liwale,-9.7667,37.9333,69.64,100,100,3.13,TZ,1675732815
304,carahue,-38.7,-73.1667,54.28,88,0,4.38,CL,1675732815
305,huaicheng,23.9051,112.1931,63.72,96,100,1.23,CN,1675732816
306,sobolevo,54.4299,31.8996,20.1,98,93,4.16,RU,1675732816
307,brewster,41.3973,-73.6171,38.19,72,0,7.0,US,1675732818
308,evensk,61.95,159.2333,-16.31,77,73,8.55,RU,1675732819
309,yulara,-25.2406,130.9889,89.87,14,0,12.91,AU,1675732700
310,taksimo,56.3444,114.8794,0.39,86,100,3.53,RU,1675732252
311,ugoofaaru,5.6667,73.0,80.35,75,100,9.37,MV,1675732822
312,salamanca,40.8333,-6.0,32.99,83,0,7.7,ES,1675732823
313,marrakesh,31.6315,-8.0083,50.07,71,40,6.91,MA,1675732784
314,chuy,-33.6971,-53.4616,69.46,80,6,5.5,UY,1675732824
315,bull savanna,17.8868,-77.5902,72.61,83,18,7.85,JM,1675732825
316,riyadh,24.6877,46.7219,71.74,42,0,10.07,SA,1675732676
317,mitsamiouli,-11.3847,43.2844,80.51,81,100,11.45,KM,1675732826
318,balkanabat,39.5108,54.3671,51.53,35,100,8.25,TM,1675732736
319,novoagansk,61.9449,76.6625,3.58,98,100,1.97,RU,1675732827
320,flin flon,54.7682,-101.865,8.19,89,100,10.31,CA,1675732828
321,kita,13.0349,-9.4895,79.41,15,96,5.53,ML,1675732828
322,pimentel,-6.8367,-79.9342,77.29,65,40,16.11,PE,1675732829
323,jacmel,18.2342,-72.5347,80.44,81,27,2.01,HT,1675732734
324,longyearbyen,78.2186,15.6401,28.24,80,100,36.82,SJ,1675732232
325,huanren,41.2647,125.3667,20.17,60,53,2.86,CN,1675732831
326,sitka,57.0531,-135.33,37.29,87,40,5.75,US,1675732831
327,mahibadhoo,3.7833,72.9667,80.67,71,100,7.52,MV,1675732832
328,lorengau,-2.0226,147.2712,77.25,92,100,5.57,PG,1675732833
329,novoblagodarnoye,44.1433,42.875,18.91,93,100,11.18,RU,1675732833
